City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
91,Gwadar,PK,25.1216,62.3254,81.95,78,3,6.51,clear sky
92,Kataysk,RU,56.289,62.5841,43.75,39,100,16.53,overcast clouds
93,Mount Isa,AU,-20.7333,139.5,71.37,16,0,8.05,clear sky
94,Butaritari,KI,3.0707,172.7902,83.75,74,92,16.62,overcast clouds
95,Lata,PT,40.1629,-8.3327,70.92,74,97,4.72,overcast clouds
96,Brekstad,NO,63.687,9.6654,60.85,77,0,19.57,clear sky
97,Hilo,US,19.7297,-155.09,82.27,91,90,10.36,mist
98,Bowen,AU,-20.0167,148.2333,65.21,87,5,9.22,clear sky
99,Darhan,MN,49.4867,105.9228,38.57,66,36,4.29,scattered clouds
100,Qaanaaq,GL,77.484,-69.3632,20.12,69,43,6.53,scattered clouds
101,Avera,US,33.194,-82.5271,82.27,40,3,2.91,clear sky
102,Bodaybo,RU,57.8506,114.1933,38.66,97,100,3.13,overcast clouds
103,Clyde River,CA,70.4692,-68.5914,29.66,80,20,7.27,few clouds
104,Qui Nhon,VN,13.7667,109.2333,77.86,88,8,5.35,clear sky
105,Saint-Philippe,RE,-21.3585,55.7679,71.19,86,45,13.91,light rain
106,Meulaboh,ID,4.1363,96.1285,73.98,94,100,6.67,light rain
107,Port Huron,US,42.9709,-82.4249,69.8,60,90,4.0,overcast clouds
108,Vysokogornyy,RU,50.1167,139.15,43.99,88,71,1.9,broken clouds
109,Shirokiy,RU,49.758,129.523,52.14,86,94,10.83,moderate rain
110,Bahir Dar,ET,11.5936,37.3908,59.85,90,40,4.32,light rain
111,Gaeta,IT,41.2183,13.5628,76.19,88,89,3.65,overcast clouds
112,Upernavik,GL,72.7868,-56.1549,25.72,64,6,2.44,clear sky
113,Flin Flon,CA,54.7682,-101.865,58.84,63,20,8.05,few clouds
114,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,89,9.24,overcast clouds
115,Acari,PE,-15.4311,-74.6158,76.15,51,39,10.47,scattered clouds
116,Ilulissat,GL,69.2167,-51.1,24.82,46,0,9.22,clear sky
117,Roma,US,43.2128,-75.4557,69.94,46,75,1.01,broken clouds
118,Kapaa,US,22.0752,-159.319,79.12,81,20,4.0,light rain
119,Iqaluit,CA,63.7506,-68.5145,37.13,74,75,18.01,broken clouds
120,Nishihara,JP,26.1842,127.7558,79.88,95,40,3.44,scattered clouds
121,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,74,34,21.7,scattered clouds
122,Pevek,RU,69.7008,170.3133,30.24,97,100,13.96,light snow
123,Sibolga,ID,1.7427,98.7792,76.23,93,100,4.9,light rain
124,Coihaique,CL,-45.5752,-72.0662,48.81,53,75,3.44,broken clouds
125,Nanortalik,GL,60.1432,-45.2371,39.58,67,12,5.03,few clouds
126,Dikson,RU,73.5069,80.5464,36.54,85,100,21.47,overcast clouds
127,San Andres,CO,12.5847,-81.7006,87.82,79,40,16.11,scattered clouds
128,Tiznit,MA,29.5833,-9.5,82.08,30,5,6.17,clear sky
129,Bethel,US,41.3712,-73.414,72.01,57,75,10.36,broken clouds
130,Broken Hill,AU,-31.95,141.4333,49.05,37,51,7.58,broken clouds
131,Egvekinot,RU,66.3167,-179.1667,19.44,80,20,5.46,few clouds
132,Jamestown,US,42.097,-79.2353,69.3,33,20,10.0,few clouds
133,Tomatlan,MX,19.9333,-105.25,89.02,57,88,3.33,overcast clouds
134,Leningradskiy,RU,69.3833,178.4167,20.73,81,85,8.88,overcast clouds
135,Kismayo,SO,-0.3582,42.5454,77.32,82,2,15.73,clear sky
136,Ust-Kut,RU,56.7938,105.7672,34.92,99,100,2.57,light rain
137,Loreto,MX,22.2667,-101.9667,70.83,49,80,3.29,broken clouds
138,Sitka,US,57.0531,-135.33,49.89,76,40,6.91,scattered clouds
139,Chokurdakh,RU,70.6333,147.9167,30.09,87,100,16.44,overcast clouds
140,Saskylakh,RU,71.9167,114.0833,33.96,98,100,10.22,overcast clouds
141,New Norfolk,AU,-42.7826,147.0587,38.91,75,8,2.86,clear sky
142,Port Hardy,CA,50.6996,-127.4199,57.38,88,75,14.97,light intensity shower rain
143,Ixtapa,MX,20.7,-105.2,86.23,79,100,5.01,overcast clouds
144,Shache,CN,38.4167,77.2406,69.42,20,0,6.26,clear sky
145,Souillac,MU,-20.5167,57.5167,71.98,88,75,14.97,light rain
146,Sheregesh,RU,52.9209,87.9869,29.07,98,100,5.35,snow
147,Uusikaupunki,FI,60.8004,21.4084,45.12,69,15,4.92,few clouds
148,Marsa Matruh,EG,31.3525,27.2453,74.05,62,0,7.36,clear sky
149,Clonakilty,IE,51.6231,-8.8706,54.61,69,100,9.15,light rain
150,Hare Bay,CA,48.8499,-54.0148,67.19,64,82,12.44,broken clouds
151,Kostrzyn,PL,52.3985,17.2281,64.67,71,88,1.99,overcast clouds
152,San Jorge,AR,-31.8962,-61.8598,91.0,22,0,4.54,clear sky
153,Loukhi,RU,66.0764,33.0381,43.41,95,66,4.14,broken clouds
154,Kudahuvadhoo,MV,2.6708,72.8944,81.64,74,100,17.36,light rain
155,Brodnica,PL,53.2597,19.3965,59.18,62,61,8.37,broken clouds
156,Skjervoy,NO,70.0311,20.9714,51.8,83,100,12.03,light rain
157,Barrow,US,71.2906,-156.7887,26.62,80,90,10.36,overcast clouds
158,Vanavara,RU,60.34,102.2797,37.06,57,100,11.43,overcast clouds
159,Filadelfia,US,39.9523,-75.1638,74.43,43,20,7.0,few clouds
160,Lhokseumawe,ID,5.1801,97.1507,77.18,85,100,4.9,overcast clouds
161,Kapit,MY,2.0167,112.9333,73.81,99,100,1.39,overcast clouds
162,Beira,MZ,-19.8436,34.8389,75.29,83,20,13.8,few clouds
163,Mahebourg,MU,-20.4081,57.7,71.89,88,75,14.97,light rain
164,Sembe,CG,1.6481,14.5806,74.3,81,53,1.68,broken clouds
165,Collie,AU,-33.3667,116.15,51.98,94,82,4.16,broken clouds
